ABV;IBU;Rating;BrandAwareness;Style_ale;Style_lager;Style_hybrid
8.5;17,0;87.6;323;1;0;0
6.9;23,0;72.3;5249;1;0;0
5.1;32,0;72.7;11854;1;0;0
4.5;38,0;81.5;50164;1;0;0
8.0;;80.4;6092;1;0;0
8.5;50,0;78.0;25477;1;0;0
5.2;25,0;77.5;141616;1;0;0
9.0;;82.4;2167;1;0;0
8.0;;84.9;18457;1;0;0
4.7;;60.4;174727;0;1;0
3.0;;77.0;11766;1;0;0
6.5;;71.4;12408;1;0;0
10.2;13,0;;85;1;0;0
7.2;25,0;79.6;23859;1;0;0
6.8;68,0;78.6;6816;1;0;0
4.0;;65.9;2274;1;0;0
5.0;;65.0;4171;0;1;0
7.0;;93.2;3291;1;0;0
4.8;27,0;69.3;120549;0;1;0
5.0;;42.6;15;0;1;0
9.0;69,0;68.0;15377;1;0;0
7.5;55,0;82.5;12289;1;0;0
10.7;;86.9;5462;1;0;0
8.8;77,0;83.4;56914;1;0;0
7.75;60,0;85.6;10548;1;0;0
7.0;70,0;70.5;13763;0;1;0
6.0;49,0;63.7;16225;1;0;0
4.7;18,0;57.3;4792;1;0;0
6.0;;80.6;5187;1;0;0
9.1;;80.2;252;0;1;0
5.0;;67.1;325;0;1;0
8.7;55,0;78.9;6116;1;0;0
7.0;;68.9;31611;1;0;0
6.1;;77.4;206;1;0;0
5.1;;57.4;157845;0;1;0
7.0;45,0;69.3;5882;0;1;0
6.2;28,0;70.6;11288;1;0;0
5.7;29,0;64.7;8325;1;0;0
9.5;;77.4;13436;1;0;0
9.4;;90.3;4943;1;0;0
5.9;;84.5;2109;1;0;0
4.9;20,0;64.8;5055;1;0;0
5.3;35,0;72.3;6952;1;0;0
;;71.1;1817;1;0;0
4.6;37,0;63.6;5701;0;1;0
10.0;;84.9;5112;1;0;0
4.0;;69.3;2584;1;0;0
4.5;;59.2;6117;1;0;0
7.1;70,0;78.0;7048;1;0;0
5.2;15,0;67.3;50603;1;0;0
9.2;;73.3;6219;1;0;0
5.0;;73.1;17532;0;1;0
8.0;30,0;80.1;2922;1;0;0
7.5;;63.5;4506;1;0;0
4.95;;64.3;147393;0;1;0
8.0;;93.9;9692;1;0;0
9.5;42,0;74.3;9235;1;0;0
10.5;;93.6;1861;1;0;0
4.5;;77.8;20186;1;0;0
5.0;22,0;64.6;2908;1;0;0
;70,0;73.9;7350;1;0;0
5.45;;73.6;1330;1;0;0
8.2;;92.9;5354;1;0;0
6.0;;65.2;147;1;0;0
7.0;;85.6;8699;1;0;0
5.4;;59.0;8750;0;1;0
4.8;25,0;74.0;3347;1;0;0
7.0;;71.1;820;1;0;0
9.2;;70.9;9470;1;0;0
6.4;60,0;63.2;5478;1;0;0
10.0;80,0;81.3;36139;1;0;0
4.8;;68.7;8943;0;1;0
8.5;85,0;79.7;14309;1;0;0
9.8;;71.1;1644;1;0;0
10.0;88,0;79.1;13420;1;0;0
6.5;70,0;81.3;8931;1;0;0
5.2;30,0;86.5;9441;1;0;0
6.0;90,0;73.4;9217;1;0;0
9.4;80,0;71.9;1585;0;1;0
6.5;23,0;73.4;45525;1;0;0
6.5;60,0;67.8;3634;1;0;0
6.0;20,0;67.3;7131;0;0;1
5.0;;78.6;1452;1;0;0
7.3;70,0;71.7;13969;1;0;0
5.0;;74.0;23089;1;0;0
6.0;42,0;75.6;25517;1;0;0
9.2;;90.6;1532;1;0;0
8.2;;69.8;16529;1;0;0
9.25;75,0;77.5;37956;1;0;0
7.0;;81.8;5420;1;0;0
9.5;;87.7;3121;1;0;0
5.8;34,0;61.6;3850;1;0;0
7.9;;85.2;4737;1;0;0
5.0;29,0;69.2;4623;1;0;0
6.2;65,0;69.6;47011;1;0;0
10.7;;77.9;5462;1;0;0
5.5;20,0;72.8;1423;1;0;0
6.6;67,0;72.3;7974;1;0;0
11.0;;;1729;1;0;0
9.5;66,0;67.7;4503;1;0;0
5.5;;59.7;4730;1;0;0
7.5;30,0;84.1;5199;1;0;0
4.5;21,0;73.0;7477;1;0;0
5.0;41,0;73.2;10901;1;0;0
